time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;events;hour;day;month;weekday_code;incident_occurred;pedestrians count_scaled;temperature in ºc_scaled;hour_scaled;day_scaled;month_scaled;weekday_code_scaled
2024-06-18 08:00:00+02:00;Tuesday;495;;;;8;18;6;1;0;-0.488999400059143;;-0.5167453940732014;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 09:00:00+02:00;Tuesday;816;;;;9;18;6;1;0;-0.29011714859316207;;-0.374370977045349;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 10:00:00+02:00;Tuesday;1208;;;;10;18;6;1;0;-0.04724536487146581;;-0.23199656001749655;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 11:00:00+02:00;Tuesday;2020;;;;11;18;6;1;0;0.4558461871234765;;-0.08962214298964409;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 12:00:00+02:00;Tuesday;2570;;;;12;18;6;1;0;0.7966101693860606;;0.052752274038208355;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 13:00:00+02:00;Tuesday;2276;;;;13;18;6;1;0;0.6144563315947884;;0.19512669106606081;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 14:00:00+02:00;Tuesday;2032;;;;14;18;6;1;0;0.4632810376455692;;0.33750110809391326;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 15:00:00+02:00;Tuesday;2132;;;;15;18;6;1;0;0.5252381253296754;;0.47987552512176573;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 16:00:00+02:00;Tuesday;2367;;;;16;18;6;1;0;0.670837281387325;;0.6222499421496182;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 17:00:00+02:00;Tuesday;2143;;;;17;18;6;1;0;0.5320534049749271;;0.7646243591774706;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 18:00:00+02:00;Tuesday;1489;;;;18;18;6;1;0;0.1268540515208726;;0.9069987762053231;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 19:00:00+02:00;Tuesday;700;;;;19;18;6;1;0;-0.3619873703067253;;1.0493731932331756;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 20:00:00+02:00;Tuesday;281;;;;20;18;6;1;0;-0.6215875677031303;;1.191747610261028;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 21:00:00+02:00;Tuesday;150;;;;21;18;6;1;0;-0.7027513525693093;;1.3341220272888805;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 22:00:00+02:00;Tuesday;92;;;;22;18;6;1;0;-0.7386864634260909;;1.4764964443167328;-0.12870871201880324;0.0;-1.296065415217637
2024-06-18 23:00:00+02:00;Tuesday;50;;;;23;18;6;1;0;-0.7647084402534156;;1.6188708613445852;-0.12870871201880324;0.0;-1.296065415217637
2024-06-19 00:00:00+02:00;Wednesday;16;;;;0;19;6;2;0;-0.7857738500660116;;-1.655740730296021;0.20094319325384466;0.0;-0.7853708795510327
2024-06-19 01:00:00+02:00;Wednesday;18;;;;1;19;6;2;0;-0.7845347083123295;;-1.5133663132681685;0.20094319325384466;0.0;-0.7853708795510327
2024-06-19 02:00:00+02:00;Wednesday;7;;;;2;19;6;2;0;-0.7913499879575812;;-1.3709918962403163;0.20094319325384466;0.0;-0.7853708795510327
